country,continent,year,lifeExp,pop,gdpPercap
Brazil,Americas,1952,50.917,56602560,2108.944355
Brazil,Americas,1957,53.285,65551171,2487.365989
Brazil,Americas,1962,55.665,76039390,3336.585802
Brazil,Americas,1967,57.632,88049823,3429.864357
Brazil,Americas,1972,59.504,100840058,4985.711467
Brazil,Americas,1977,61.489,114313951,6660.118654
Brazil,Americas,1982,63.336,128962939,7030.835878
Brazil,Americas,1987,65.205,142938076,7807.095818
Brazil,Americas,1992,67.057,155975974,6950.283021
Brazil,Americas,1997,69.388,168546719,7957.980824
Brazil,Americas,2002,71.006,179914212,8131.212843
Brazil,Americas,2007,72.39,190010647,9065.800825
Canada,Americas,1952,68.75,14785584,11367.16112
Canada,Americas,1957,69.96,17010154,12489.95006
Canada,Americas,1962,71.3,18985849,13462.48555
Canada,Americas,1967,72.13,20819767,16076.58803
Canada,Americas,1972,72.88,22284500,18970.57086
Canada,Americas,1977,74.21,23796400,22090.88306
Canada,Americas,1982,75.76,25201900,22898.79214
Canada,Americas,1987,76.86,26549700,26626.51503
Canada,Americas,1992,77.95,28523502,26342.88426
Canada,Americas,1997,78.61,30305843,28954.92589
Canada,Americas,2002,79.77,31902268,33328.96507
Canada,Americas,2007,80.653,33390141,36319.23501
Japan,Asia,1952,63.03,86459025,3216.956347
Japan,Asia,1957,65.5,91563009,4317.694365
Japan,Asia,1962,68.73,95831757,6576.649461
Japan,Asia,1967,71.43,100825279,9847.788607
Japan,Asia,1972,73.42,107188273,14778.78636
Japan,Asia,1977,75.38,113872473,16610.37701
Japan,Asia,1982,77.11,118454974,19384.10571
Japan,Asia,1987,78.67,122091325,22375.94189
Japan,Asia,1992,79.36,124329269,26824.89511
Japan,Asia,1997,80.69,125956499,28816.58499
Japan,Asia,2002,82,127065841,28604.5919
Japan,Asia,2007,82.603,127467972,31656.06806
Mexico,Americas,1952,50.789,30144317,3478.125529
Mexico,Americas,1957,55.19,35015548,4131.546641
Mexico,Americas,1962,58.299,41121485,4581.609385
Mexico,Americas,1967,60.11,47995559,5754.733883
Mexico,Americas,1972,62.361,55984294,6809.40669
Mexico,Americas,1977,65.032,63759976,7674.929108
Mexico,Americas,1982,67.405,71640904,9611.147541
Mexico,Americas,1987,69.498,80122492,8688.156003
Mexico,Americas,1992,71.455,88111030,9472.384295
Mexico,Americas,1997,73.67,95895146,9767.29753
Mexico,Americas,2002,74.902,102479927,10742.44053
Mexico,Americas,2007,76.195,108700891,11977.57496
